epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8635.17,1.02896,0.91462,0.01593,0.61739,0.33891,0.38051,0.2754,1.1652,0.88554,0.02504,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8914.08,1.02098,0.89541,0.01577,0.60191,0.33631,0.38821,0.28318,1.16443,0.87512,0.02497,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9183.35,1.00909,0.87535,0.01534,0.56693,0.34779,0.3926,0.28629,1.15566,0.86817,0.02467,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9443.96,1.00644,0.86181,0.01539,0.50053,0.35604,0.39301,0.2878,1.1538,0.87151,0.02468,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9717.1,0.9941,0.83323,0.01505,0.52767,0.36514,0.39152,0.28611,1.14822,0.89663,0.02457,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9980.7,0.98978,0.83829,0.01521,0.58992,0.35096,0.39503,0.28605,1.15497,0.89004,0.02479,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10227.5,0.97342,0.80989,0.01488,0.54734,0.35006,0.38901,0.28304,1.1484,0.90367,0.02457,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10482.4,0.96353,0.80288,0.01471,0.51666,0.39084,0.39362,0.28572,1.15439,0.88911,0.02477,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10739.6,0.96341,0.78563,0.01469,0.4752,0.39608,0.39574,0.28576,1.15681,0.88033,0.02486,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10995.5,0.92286,0.53421,0.01809,0.46453,0.41252,0.39365,0.28638,1.15487,0.89678,0.02476,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11246.4,0.90643,0.50244,0.01755,0.45715,0.42657,0.39975,0.28948,1.15043,0.90691,0.0246,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11520.6,0.89248,0.48576,0.01719,0.51891,0.40589,0.41242,0.29689,1.1538,0.90501,0.02472,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11796.4,0.8778,0.45091,0.01693,0.56622,0.39086,0.41511,0.30028,1.15319,0.91351,0.02471,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12067.2,0.86494,0.44116,0.01652,0.58737,0.38933,0.42081,0.30387,1.15358,0.91432,0.02471,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12319.4,0.85383,0.42623,0.01621,0.60439,0.38457,0.42122,0.30464,1.15349,0.91745,0.02475,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12566.9,0.84141,0.40852,0.01578,0.64365,0.38697,0.42117,0.30411,1.15374,0.9234,0.02477,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12824.5,0.82873,0.39614,0.01566,0.65225,0.38015,0.41759,0.30139,1.15545,0.92786,0.0248,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,13077.8,0.82366,0.39324,0.01541,0.65328,0.37867,0.42134,0.30394,1.15499,0.93334,0.02483,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13334.8,0.8168,0.38815,0.01532,0.65006,0.37868,0.41864,0.30317,1.15649,0.93457,0.02486,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
