epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7936.32,0.94224,0.72637,0.01421,0.57747,0.39214,0.4358,0.32026,1.16004,0.98235,0.02517,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279
31,8198.42,0.93866,0.71454,0.01419,0.59496,0.38436,0.43991,0.32406,1.16276,0.96744,0.02534,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146
32,8466.78,0.92844,0.70826,0.01394,0.50894,0.41598,0.42719,0.31619,1.15731,0.95547,0.0252,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622
33,8716.69,0.92533,0.69555,0.01395,0.50387,0.40798,0.42952,0.31849,1.1576,0.96652,0.02519,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823
34,8962.1,0.92107,0.68203,0.01392,0.52951,0.39186,0.42251,0.31209,1.15726,0.9738,0.02507,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864
35,9207.42,0.91244,0.67528,0.01366,0.57854,0.38725,0.42469,0.31136,1.15845,0.97652,0.02518,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855
36,9457.22,0.89807,0.65836,0.01344,0.63405,0.37586,0.43753,0.32322,1.15368,0.96791,0.02505,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901
37,9718.72,0.89125,0.63715,0.01341,0.59294,0.39377,0.42651,0.31103,1.16425,0.96414,0.02534,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107
38,9986.52,0.89525,0.64102,0.01339,0.59988,0.39284,0.42768,0.3136,1.16344,0.96703,0.02528,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569
39,10245,0.88467,0.63343,0.01326,0.60587,0.39933,0.43555,0.32224,1.16291,0.96916,0.02527,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638
40,10484.6,0.87701,0.62054,0.01302,0.60448,0.38948,0.4333,0.31993,1.16551,0.97064,0.02535,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629
41,10737.2,0.81309,0.3814,0.01557,0.61588,0.38283,0.43937,0.32424,1.16412,0.9749,0.02531,0.00289188,0.00096396,0.00289188,0.00096396,0.00289188,0.00096396,0.00289188,0.00096396
42,10992.1,0.80401,0.36185,0.01526,0.61159,0.38387,0.43963,0.32432,1.1701,0.97227,0.02552,0.00236275,0.000787582,0.00236275,0.000787582,0.00236275,0.000787582,0.00236275,0.000787582
43,11240.5,0.79379,0.35003,0.01491,0.64554,0.37481,0.4307,0.31452,1.16902,0.97728,0.02544,0.00188354,0.000627848,0.00188354,0.000627848,0.00188354,0.000627848,0.00188354,0.000627848
44,11502,0.78569,0.34489,0.01481,0.63901,0.38225,0.43303,0.31657,1.16566,0.98397,0.02534,0.00145617,0.000485389,0.00145617,0.000485389,0.00145617,0.000485389,0.00145617,0.000485389
45,11748.6,0.77945,0.33541,0.0145,0.64156,0.37988,0.42751,0.31266,1.16556,0.98818,0.02537,0.0010823,0.000360766,0.0010823,0.000360766,0.0010823,0.000360766,0.0010823,0.000360766
46,11999.8,0.77378,0.33819,0.01455,0.63554,0.38346,0.42606,0.31175,1.16356,0.9871,0.02531,0.000763418,0.000254473,0.000763418,0.000254473,0.000763418,0.000254473,0.000763418,0.000254473
47,12248.9,0.7716,0.33229,0.0143,0.51966,0.40908,0.42499,0.31066,1.16422,0.98517,0.02528,0.000500781,0.000166927,0.000500781,0.000166927,0.000500781,0.000166927,0.000500781,0.000166927
48,12493.4,0.76874,0.3315,0.01435,0.55074,0.40802,0.43654,0.32306,1.16388,0.98137,0.02526,0.000295426,9.84752e-05,0.000295426,9.84752e-05,0.000295426,9.84752e-05,0.000295426,9.84752e-05
49,12739.3,0.76742,0.33016,0.0143,0.55064,0.40906,0.43583,0.32244,1.16362,0.98248,0.02526,0.000148161,4.93871e-05,0.000148161,4.93871e-05,0.000148161,4.93871e-05,0.000148161,4.93871e-05
50,12987.8,0.76571,0.32929,0.01427,0.55162,0.40969,0.43549,0.32195,1.16361,0.98379,0.02523,5.95695e-05,1.98565e-05,5.95695e-05,1.98565e-05,5.95695e-05,1.98565e-05,5.95695e-05,1.98565e-05
