epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7889.04,1.10796,1.05393,0.01734,0.72662,0.49193,0.57936,0.42154,1.18413,0.77948,0.02548,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
31,8143.43,1.11089,1.04522,0.01743,0.52135,0.59259,0.58872,0.42452,1.18694,0.79883,0.02573,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
32,8395.21,1.10857,1.04534,0.01745,0.5839,0.56536,0.58295,0.42031,1.17217,0.82093,0.02536,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736
33,8648.97,1.11097,1.04311,0.01756,0.74853,0.48834,0.58279,0.42129,1.18418,0.83398,0.02569,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
34,8904.13,1.11586,1.03009,0.01778,0.65467,0.52975,0.58902,0.42528,1.18294,0.83162,0.02562,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
35,9155.22,1.09832,1.02244,0.01724,0.67802,0.51866,0.58192,0.42116,1.17398,0.82571,0.02523,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
36,9408.92,1.0867,1.00077,0.01702,0.66938,0.52601,0.58829,0.42831,1.17377,0.83081,0.02526,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337
37,9666.43,1.08637,0.98397,0.01712,0.66453,0.50804,0.57963,0.42163,1.17608,0.83825,0.02531,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
38,9925.45,1.09482,0.99603,0.01716,0.59501,0.56676,0.5794,0.42208,1.17977,0.83822,0.02547,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371
39,10177.3,1.08324,0.98862,0.01709,0.64305,0.54075,0.59146,0.43049,1.18516,0.81962,0.02568,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
40,10422.9,1.08613,0.97283,0.01696,0.63389,0.5437,0.59525,0.43291,1.17599,0.81304,0.02547,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
41,10683.3,1.07685,0.96939,0.01683,0.63547,0.53838,0.59483,0.43342,1.17502,0.80197,0.02543,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
42,10936,1.06753,0.94363,0.01672,0.67774,0.54039,0.58002,0.42266,1.17312,0.7987,0.02529,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194
43,11191.7,1.07107,0.9586,0.01685,0.69684,0.52651,0.58002,0.42296,1.17028,0.80064,0.02525,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
44,11449.5,1.07191,0.93485,0.01664,0.70444,0.54412,0.58165,0.42469,1.16902,0.80586,0.02521,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103
45,11710.3,1.07058,0.94218,0.01661,0.69341,0.53922,0.58919,0.43094,1.16945,0.79681,0.02522,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
46,11969.3,1.05971,0.92703,0.01641,0.68872,0.53854,0.58494,0.42724,1.16926,0.80139,0.02522,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
47,12220.2,1.05647,0.91062,0.01652,0.69173,0.53757,0.58229,0.42211,1.17137,0.80074,0.02533,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
48,12474.5,1.05255,0.90309,0.01648,0.67361,0.54522,0.58625,0.42504,1.17082,0.80775,0.02535,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234
49,12728.9,1.04835,0.89314,0.01636,0.59436,0.5535,0.58657,0.42669,1.17038,0.80934,0.02529,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
50,12980.7,1.04888,0.9022,0.01636,0.5549,0.57666,0.57598,0.41704,1.16877,0.8169,0.02525,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588
51,13242.9,1.04247,0.8895,0.0162,0.5593,0.54774,0.57584,0.41692,1.16994,0.81412,0.02524,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
52,13503.6,1.04531,0.88583,0.01613,0.61211,0.5403,0.5775,0.42002,1.16993,0.81606,0.02529,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
53,13761.6,1.04029,0.88175,0.01611,0.62112,0.53418,0.57662,0.42098,1.17009,0.81845,0.02529,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
54,14014.3,1.03096,0.86556,0.01598,0.62775,0.54735,0.57772,0.42228,1.16789,0.82146,0.02524,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207
55,14266.6,1.02548,0.84567,0.016,0.54763,0.56446,0.58121,0.4236,1.16612,0.82555,0.02516,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
56,14525.4,1.02947,0.8483,0.01577,0.60292,0.56124,0.58274,0.42654,1.16484,0.82699,0.02509,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961
57,14780.7,1.02018,0.83368,0.01576,0.54432,0.56578,0.58334,0.42619,1.1644,0.83049,0.02504,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
58,15038.6,1.0211,0.82565,0.01573,0.54394,0.56573,0.58304,0.42667,1.16357,0.82997,0.02503,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
59,15297.1,1.01931,0.83203,0.01562,0.54835,0.56504,0.58377,0.42699,1.16134,0.82875,0.02496,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
60,15548.9,1.00803,0.81077,0.0155,0.54791,0.55977,0.5835,0.4271,1.15985,0.83093,0.02491,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958
61,15808,1.0105,0.81456,0.01557,0.65074,0.51807,0.58067,0.42573,1.15924,0.83381,0.02488,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,16082.3,1.00202,0.79322,0.01536,0.55931,0.55069,0.57839,0.42314,1.16014,0.83106,0.0249,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042
63,16345.1,0.9949,0.79719,0.0153,0.55327,0.5567,0.5789,0.42382,1.15894,0.83218,0.02483,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
64,16600.2,0.99062,0.7812,0.01517,0.55628,0.56683,0.5787,0.42397,1.15846,0.83345,0.0248,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
65,16859.8,0.99148,0.77493,0.01504,0.55533,0.55993,0.57763,0.4236,1.15942,0.83346,0.02483,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
66,17117,0.99221,0.77222,0.0151,0.61161,0.54823,0.57511,0.42228,1.15838,0.83605,0.0248,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039
67,17374.9,0.98401,0.76732,0.0149,0.61734,0.55838,0.58041,0.42662,1.15747,0.83811,0.02475,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
68,17630.6,0.97954,0.74643,0.01498,0.5677,0.56591,0.58093,0.42706,1.15705,0.84059,0.02473,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793
69,17878.9,0.97347,0.74263,0.01469,0.62321,0.56529,0.58029,0.42709,1.15689,0.84143,0.02472,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
70,18130.1,0.96537,0.73059,0.01454,0.62679,0.56578,0.58202,0.42804,1.15654,0.84069,0.02471,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
71,18387.2,0.96955,0.73991,0.01471,0.62088,0.56839,0.57672,0.42425,1.15884,0.83617,0.02476,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
