epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8043.01,1.21786,1.37182,0.02211,0.71707,0.51601,0.57516,0.40939,1.14731,0.82909,0.02551,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,8311.57,1.22493,1.36725,0.02208,0.7289,0.49035,0.59203,0.42235,1.14223,0.81104,0.02528,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,8574.68,1.23085,1.37361,0.02221,0.74393,0.5105,0.62081,0.44751,1.13271,0.79413,0.02499,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,8866.55,1.22329,1.37214,0.02235,0.71251,0.5245,0.60003,0.43066,1.13215,0.81606,0.02496,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,9145.63,1.21834,1.34827,0.02189,0.70653,0.53504,0.59756,0.42762,1.1283,0.81497,0.025,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,9416.35,1.20597,1.34843,0.02193,0.70061,0.54683,0.6071,0.4395,1.12296,0.82229,0.0249,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,9694.87,1.20571,1.32856,0.0217,0.70566,0.55031,0.60391,0.43122,1.12629,0.8287,0.02501,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,9955.69,1.2025,1.32094,0.02173,0.73435,0.51838,0.61715,0.44301,1.12509,0.81944,0.0249,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,10214.7,1.20191,1.31071,0.02158,0.72178,0.53165,0.61631,0.44629,1.12613,0.81157,0.02491,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,10475.5,1.20157,1.31301,0.0215,0.56408,0.63503,0.62795,0.45107,1.12542,0.80096,0.02492,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,10745,1.20122,1.32224,0.02148,0.6593,0.6024,0.63342,0.45908,1.12314,0.81068,0.02481,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,11009.2,1.19806,1.30266,0.02152,0.6128,0.61436,0.62498,0.45355,1.11379,0.81521,0.02453,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,11279,1.1902,1.29626,0.0214,0.57144,0.63822,0.62773,0.45717,1.11215,0.81753,0.0245,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,11536,1.19574,1.27832,0.02135,0.56003,0.63431,0.6225,0.45312,1.11032,0.83259,0.02445,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,11790.2,1.1951,1.30431,0.02139,0.57601,0.6409,0.63025,0.45997,1.11049,0.83329,0.02444,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,12045.5,1.19477,1.28754,0.02134,0.61064,0.63154,0.62975,0.45974,1.11104,0.83625,0.02448,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,12304,1.1905,1.28599,0.02149,0.60911,0.6216,0.62698,0.45788,1.10997,0.84081,0.02443,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,12558.4,1.18952,1.25845,0.02136,0.61983,0.61237,0.62794,0.45845,1.10967,0.82837,0.02438,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,12825.3,1.17809,1.26555,0.02128,0.60556,0.61566,0.62885,0.45904,1.10658,0.82732,0.02435,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,13093,1.18,1.263,0.02113,0.62975,0.61282,0.6278,0.4577,1.10538,0.83157,0.0243,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,13364.6,1.18237,1.27923,0.02123,0.62122,0.6138,0.62628,0.45775,1.10448,0.8281,0.02423,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,13638.4,1.18016,1.25377,0.02098,0.6207,0.60561,0.62726,0.45802,1.10396,0.81983,0.02421,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,13904.2,1.18648,1.24826,0.02109,0.63176,0.60071,0.62619,0.45818,1.10239,0.81709,0.02416,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,14158,1.1818,1.25846,0.0212,0.6421,0.59776,0.62428,0.4564,1.10083,0.81608,0.02411,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,14411.2,1.17268,1.24313,0.02092,0.64247,0.59652,0.6262,0.45782,1.10028,0.81677,0.02413,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,14665,1.16969,1.23619,0.02095,0.64159,0.59818,0.62676,0.45756,1.10203,0.81319,0.02417,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,14917.9,1.16838,1.22912,0.0209,0.6413,0.59659,0.62675,0.45794,1.10354,0.81192,0.02424,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,15175.9,1.17291,1.24529,0.02088,0.63176,0.59909,0.62679,0.45914,1.10144,0.81176,0.02412,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,15432.3,1.17001,1.25179,0.02092,0.63078,0.60147,0.62733,0.4601,1.09811,0.81956,0.02404,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,15685.1,1.17063,1.22433,0.02096,0.6092,0.6083,0.62726,0.45968,1.0984,0.82317,0.02404,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,15939.2,1.15515,1.2157,0.02056,0.60141,0.61155,0.62717,0.46037,1.09746,0.8246,0.02406,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,16196.4,1.16406,1.20026,0.02071,0.61508,0.60617,0.62694,0.46031,1.09744,0.82391,0.02409,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
