epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7893.15,0.91127,0.69291,0.01377,0.68168,0.5691,0.60623,0.45053,1.16467,0.80397,0.02496,0.000114033,0.000114033,0.000114033
43,8086.75,0.91591,0.70585,0.01394,0.67358,0.56545,0.60587,0.45007,1.16576,0.8013,0.02498,0.000103252,0.000103252,0.000103252
44,8274.67,0.91701,0.69765,0.01376,0.67504,0.56488,0.60609,0.45029,1.16608,0.79861,0.02501,9.28736e-05,9.28736e-05,9.28736e-05
45,8454.79,0.9201,0.70941,0.01381,0.70868,0.53563,0.60517,0.44964,1.16561,0.79661,0.025,8.2926e-05,8.2926e-05,8.2926e-05
46,8631.11,0.91675,0.70276,0.01375,0.70731,0.5351,0.60447,0.44923,1.16601,0.79636,0.02501,7.34367e-05,7.34367e-05,7.34367e-05
47,8816.51,0.90953,0.69672,0.01378,0.70918,0.53317,0.59211,0.43927,1.16644,0.79632,0.02503,6.44317e-05,6.44317e-05,6.44317e-05
48,9005.7,0.91356,0.70144,0.0139,0.70739,0.53323,0.5925,0.43975,1.16646,0.79542,0.02502,5.59357e-05,5.59357e-05,5.59357e-05
49,9191.9,0.91414,0.6971,0.01387,0.70182,0.53612,0.59242,0.43998,1.16647,0.79444,0.02503,4.79719e-05,4.79719e-05,4.79719e-05
50,9380.66,0.91399,0.70754,0.01387,0.70585,0.53392,0.59234,0.43964,1.1672,0.79333,0.02506,4.05622e-05,4.05622e-05,4.05622e-05
51,9558.32,0.8741,0.46768,0.01698,0.71315,0.53273,0.60452,0.44923,1.16576,0.79321,0.02506,3.37269e-05,3.37269e-05,3.37269e-05
52,9738.05,0.86803,0.4556,0.01696,0.68855,0.54543,0.60508,0.44941,1.1636,0.79453,0.02497,2.74847e-05,2.74847e-05,2.74847e-05
53,9917.11,0.86314,0.45577,0.01677,0.71615,0.53129,0.60549,0.44955,1.16459,0.79517,0.02497,2.18528e-05,2.18528e-05,2.18528e-05
54,10093.8,0.86522,0.45137,0.0167,0.71329,0.53142,0.6056,0.44863,1.16362,0.79684,0.02495,1.68466e-05,1.68466e-05,1.68466e-05
55,10278.2,0.86579,0.45506,0.0168,0.71952,0.52994,0.60558,0.44905,1.16227,0.79947,0.0249,1.24798e-05,1.24798e-05,1.24798e-05
56,10460.5,0.86593,0.45692,0.01689,0.7114,0.53247,0.60536,0.44891,1.16265,0.79853,0.02492,8.76428e-06,8.76428e-06,8.76428e-06
57,10648.4,0.86439,0.45251,0.01679,0.71804,0.52954,0.60545,0.44886,1.16307,0.79686,0.02493,5.71037e-06,5.71037e-06,5.71037e-06
58,10830.2,0.86187,0.44576,0.01677,0.70273,0.51335,0.59566,0.43944,1.16184,0.79836,0.02491,3.32638e-06,3.32638e-06,3.32638e-06
