epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7795.67,1.20549,1.34613,0.02183,0.71085,0.51377,0.57954,0.41032,1.14665,0.83561,0.02539,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,8041.8,1.21142,1.33776,0.02178,0.77611,0.47642,0.5851,0.41394,1.1562,0.82689,0.02546,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,8289.16,1.20388,1.33896,0.02156,0.74547,0.49489,0.57846,0.40785,1.15904,0.81874,0.02551,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,8544.23,1.20432,1.34319,0.02191,0.72847,0.50815,0.5663,0.3936,1.17391,0.81948,0.02611,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,8796.97,1.20061,1.31876,0.02163,0.73657,0.50673,0.57576,0.40394,1.17997,0.81403,0.02618,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,9048.13,1.20126,1.32017,0.0218,0.74936,0.5077,0.5792,0.40525,1.16821,0.81986,0.02587,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,9305.63,1.20153,1.30281,0.02171,0.73235,0.52327,0.58051,0.40682,1.1668,0.83283,0.02584,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,9564.5,1.18789,1.30373,0.02148,0.72201,0.53009,0.57272,0.40265,1.1599,0.83642,0.02561,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,9824.63,1.1888,1.2906,0.02135,0.76886,0.50377,0.59024,0.41853,1.15616,0.81784,0.02541,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,10083.8,1.18208,1.29997,0.02122,0.7557,0.51225,0.59837,0.42334,1.15682,0.82035,0.0254,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,10331.7,1.19226,1.30542,0.02132,0.75485,0.51166,0.59438,0.42177,1.15322,0.81423,0.02528,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,10580.5,1.18741,1.28885,0.02133,0.75638,0.50541,0.59639,0.42401,1.15208,0.82041,0.02528,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,10828.3,1.1841,1.27381,0.02131,0.75188,0.51497,0.59113,0.42034,1.14524,0.8177,0.02506,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,11088.9,1.17962,1.26546,0.02114,0.7456,0.51156,0.5924,0.42206,1.14054,0.8183,0.02502,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,11348.9,1.17986,1.28361,0.02119,0.74502,0.5073,0.59438,0.42227,1.13709,0.80426,0.02498,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,11606.1,1.18478,1.25848,0.02119,0.75029,0.50458,0.60233,0.42758,1.13677,0.79247,0.02491,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,11853.5,1.17758,1.25661,0.02122,0.75349,0.50613,0.60408,0.42906,1.13332,0.7926,0.02479,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,12101.8,1.17876,1.25541,0.0212,0.7654,0.50355,0.60403,0.43062,1.13065,0.78399,0.02472,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,12348.5,1.16998,1.2637,0.02112,0.74972,0.51614,0.59212,0.42881,1.12772,0.78352,0.02466,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
